Fecha,PPMM,XPP,PC,GN,DP,MPP
feb-03,28.89,1660400,1465161,130151,393678,770045
abr-03,20.59,1337345,1196321,157602,260979,715344
jun-03,24.94,1441799,1307628,154640,261260,689712
ago-03,25.83,1644099,1529547,167345,242978,685155
oct-03,23.8,1580299,1407048,145183,248997,701074
dic-03,25.36,1882713,1678920,224876,218331,772788
feb-04,27.14,1505678,1325306,196196,269764,790880
abr-04,29.36,1717909,1525179,169273,299969,816212
jun-04,28.63,1846614,1663281,208523,266706,842851
ago-04,31.26,2087157,1904698,260162,267969,895424
oct-04,44.2,2582963,2389288,199681,264717,875816
dic-04,46.73,1981533,1772552,242908,660199,1409479
feb-05,35.84,2027295,1790058,204220,568127,1175912
abr-05,38.6,2429087,2129939,179293,671334,1323631
jun-05,44.2,2708949,2406987,190319,490423,1096361
ago-05,54.01,3067983,2755521,238392,647738,1324222
oct-05,46.73,3144437,2838792,256447,1012520,1775554
dic-05,46.72,2927854,2582479,277710,851774,1672692
feb-06,48.33,2926637,2688437,172433,882656,1512034
abr-06,59.6,3510821,3138643,186758,922228,1546480
jun-06,58.6,3400323,2965657,242356,988944,1733318
ago-06,57.3,3796806,3312195,259131,1091168,1958774
oct-06,47.6,2873927,2525411,194040,814813,1526570
dic-06,48.58,2627182,2352303,216953,784670,1507010
feb-07,49.46,2801280,2400741,209887,854537,1544457
abr-07,55.68,3129579,2747498,225487,1114055,1857980
jun-07,61.6,3526428,3125575,210250,1656923,2429497
ago-07,62.7,3606502,3187553,245751,1396149,2283792
oct-07,79.53,3742225,3357799,216669,1562085,2353964
dic-07,82.44,4156490,3689943,216953,1895961,2807211
feb-08,85.64,3811109,3373068,353811,1693895,2659829
abr-08,93.79,4784784,4096305,427162,2266298,3407971
jun-08,123.04,5589744,4846412,397984,1918434,2978390
ago-08,107.54,5464579,4681627,443713,3162092,4326465
oct-08,51.75,3297182,2678832,255603,1993079,3015796
dic-08,34.22,1759022,1386610,181077,1354238,1960191
feb-09,40.73,1671944,1345854,160450,788335,1331110
abr-09,47.57,1984113,1686450,128075,834414,1376144
jun-09,65.97,2846803,2386487,155798,1230153,1864863
ago-09,68.58,2707970,2294018,151156,1277433,1957404
oct-09,70.9,3155049,2644174,150304,1143721,1835379
dic-09,73.43,3321353,2707524,172221,1595596,2336223
feb-10,71.65,2933893,2426311,207281,1182428,2011663
abr-10,77.02,3403219,2905183,158412,1815863,2654644
jun-10,66.91,2628192,2244315,197336,1398057,2324937
ago-10,66.46,3472796,2923278,199498,1744409,2685643
oct-10,74.03,3685555,3188141,170788,1633140,2484356
dic-10,83.51,4272333,3789956,147422,2391619,3271461
feb-11,97.92,3620212,3129079,209964,2240060,3125001
abr-11,113.1,4582271,4015973,204053,2350953,3455484
jun-11,101.09,5038893,4403556,230140,2887860,4062344
ago-11,102.4,4912529,4402544,273597,2585847,3749323
oct-11,104.69,4858728,4311272,192164,2723830,3779233
dic-11,105,4854264,4222155,176398,2221335,3150318
feb-12,113.77,4570340,3927276,158167,2521657,3407208
abr-12,110.81,4534742,4029898,131923,2667534,3621674
jun-12,90.53,3682722,3291727,161077,2162823,3033783
ago-12,103.67,4809888,4238029,213756,2557303,3591494
oct-12,95.92,4641024,4199817,210165,3134688,4142064
dic-12,96.7,3911398,3519090,228507,1955223,2856513
feb-13,105.59,4084912,3599934,242534,2024910,3009756
abr-13,99.16,4439145,3791606,342969,3035527,4138032
jun-13,96.3,3726564,3199106,335210,1894980,3073041
ago-13,102.98,4174492,3615722,399344,2421591,3701245
oct-13,92.21,4340204,3512138,370519,2044685,3271853
dic-13,92.51,4373637,3716439,382293,1917868,3032033
feb-14,95.18,3924527,3324139,445435,1982653,3211009
abr-14,94.84,3786861,3016458,519546,2484976,3817554
jun-14,99.62,3890362,3187028,429043,2081916,3361802
ago-14,92.75,3671599,3135684,454713,2126456,3488363
oct-14,76.98,3264062,2652548,410649,2180281,3387315
dic-14,45.45,2414129,1955225,393736,2279288,3438376
feb-15,49.51,2098179,1726709,311320,1593553,2488917
abr-15,57.01,1898428,1573679,304769,1712555,2692932
jun-15,55.68,2230509,1692641,304276,1831707,2885991
ago-15,40.45,1908181,1552309,392655,2625415,3736247
oct-15,39.32,1827034,1486082,315956,1602921,2610650
dic-15,27.37,1182134,865160,254210,1739172,2674278
feb-16,27.14,1127535,881103,199737,1069913,1848522
abr-16,37.58,1325950,1046712,390916,1451048,2487250
jun-16,41,1611923,1319364,267236,1647303,2592014
ago-16,38.96,1762087,1501229,376178,1722110,2789520
oct-16,38.81,1932789,1681872,453534,1832325,2913646
dic-16,46.3,1820596,1479668,463180,2358490,3445781
feb-17,46.02,1891857,1524602,397089,1968753,3050589
abr-17,42.74,1679204,1326988,381628,1768047,2870744
jun-17,42.68,1780551,1432748,345008,2009820,3100625
ago-17,45.62,1850193,1582690,948730,2417908,4030659
oct-17,52.72,2279544,2055952,624494,2747092,4082313
dic-17,56.19,2663613,2357478,742794,2946552,4388471
feb-18,55.59,2598853,2299678,603341,2655510,3931095
abr-18,61.35,2626302,2239458,546040,2907287,4270046
jun-18,68.72,2509174,2150299,658952,3188159,4702900
ago-18,66.29,2739801,2348925,657717,3466096,4951823
oct-18,70.17,2618817,2268704,603621,3776988,5217186
dic-18,44.69,2255646,1920708,671745,2655687,4058730
feb-19,58.62,2609350,2347014,588145,2272850,3558721
abr-19,63.62,2258808,1899384,528977,3080160,4333297
jun-19,61.08,1953591,1696898,503636,2650088,3829691
ago-19,49.54,1914235,1659646,478527,2611691,3833721
oct-19,48.08,1839828,1510504,479750,2836137,4066523
dic-19,56.14,2239624,1823749,455938,2614039,3664597
feb-20,39.76,1494665,1276086,389467,2247786,3249591
abr-20,12.5,861018,604575,311494,1180087,2036748
jun-20,34.28,1288390,1130028,325967,950692,1707226
ago-20,40.85,1680403,1442604,413036,1434430,2375965
oct-20,32.58,1346013,1095744,450929,1604036,2707894
dic-20,47.16,1978310,1727450,569611,1909001,3208093
feb-21,60.89,1820521,1576304,744187,1500398,2929342
abr-21,61.39,2058079,1648252,381623,2261787,3593462
jun-21,69.3,2625175,2233754,636132,2804249,4466951
ago-21,64.52,2571798,2192336,1234311,2703409,5072861
oct-21,77.6,2771946,2159653,972679,2588532,4678442
dic-21,71.29,2802135,2172937,899158,3179149,5285353
feb-22,91.8,2794511,2238704,855461,2451028,4323996
